issue_number,url,input_sha256,root_action,assigned_action,root_route,assigned_route,jev_route,root_assigned_route_agrees,root_jev_route_agrees,root_design,assigned_design,jev_design_label,root_agent_behavior,assigned_agent_behavior,jev_agent_behavior_label,root_memory,assigned_memory,jev_memory_label,root_cross_repo,assigned_cross_repo,jev_cross_repo_label,root_substance,assigned_substance,jev_substance_label,root_design_context,assigned_design_context,jev_design_context_label,root_reason,assigned_reason,root_review_file,assigned_review_file,request_file,response_file
4242,https://github.com/OpenHands/software-agent-sdk/issues/4242,8bf565e69de9d4769525cac10c0cd440ea35db05a2d357e2a676482496ceb0ac,investigate,investigate,write,write,defer,True,False,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,no,yes,yes,no,"Dependency repositories in skill frontmatter pose a real ownership choice: automatic checkout versus instructions to the agent. Named repositories are examples, not a demonstrated contract between their implementations.","The proposal poses a small but clear workspace design choice: declarative dependency repositories, automatic cloning, or instructions to the agent. The named frontend/backend repos illustrate the feature rather than establish an actual cross-repo compatibility change.",reviews/root-blind-sample.json,reviews/group-2.json,requests/4242.json,responses/4242/attempt-01.json
4248,https://github.com/OpenHands/software-agent-sdk/issues/4248,194257d537d0479c2ce08ea9547410d5737d45ca5162d8f3c50ce3085e67b67d,uncertain,uncertain,defer,defer,needs_info,True,False,unclear,unclear,no,yes,yes,yes,no,no,no,no,no,no,unclear,unclear,no,unclear,yes,no,"The exact tool-argument error and model provide a real behavior signal, but no version or reproduction explains whether a code-design investigation is warranted. I would defer rather than confidently blame the author.","The named model and precise missing tool-schema parameter identify a real agent invocation problem with an implicit expected successful call. The sparse report leaves significance and mechanism uncertain, but a known solution is not required to understand the bug.",reviews/root-blind-sample.json,reviews/group-3.json,requests/4248.json,responses/4248/attempt-01.json
4262,https://github.com/OpenHands/software-agent-sdk/issues/4262,b872f9192f6eb2aac21f586b68306779a88790604efb6b7e24b25a9d432fcaeb,uncertain,investigate,defer,write,write,False,False,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,"The behavioral-versus-sentinel security-testing lesson is clear, but the finding targets a Zentra fork and files outside the watched source trees. Applicability to the permitted writer evidence needs checking.",The issue contrasts source-marker checks with real agent egress denial across multiple entry points. This is a meaningful security-boundary verification question rather than generic test coverage.,reviews/root-blind-sample.json,reviews/group-1.json,requests/4262.json,responses/4262/attempt-01.json
4562,https://github.com/OpenHands/software-agent-sdk/issues/4562,b74e9e24d08b5bab798ec1e77c28aea278df3b5f09abc352a58f89d42981fb53,investigate,investigate,write,write,write,True,True,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,A precise browser/server cookie contract explains LAN failures and secure-context tradeoffs. It is architecture interest without being LLM behavior or a demonstrated cross-repo change.,"The bug links transport security, same-site versus cross-site embedding and browser cookie acceptance. It explains why a successful authentication endpoint is not enough to establish a usable session.",reviews/root-blind-sample.json,reviews/group-1.json,requests/4562.json,responses/4562/attempt-01.json
4574,https://github.com/OpenHands/software-agent-sdk/issues/4574,05fbe62f41529fd2d07106be57e0252ba4b6fc94fb5e49a6b17b7ec7162c8c01,skip,skip,skip,skip,skip,True,True,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,yes,yes,"The SDK catalog/Canvas picker interaction is concrete, but adding another provider and attribution headers follows an existing pattern. Clear integration work is not automatically a useful standalone design essay.","Provider catalog exposure and attribution headers are concretely specified and do affect the SDK-to-Canvas catalog surface. However, the request is a routine verified-provider/business integration with no substantive new agent or architectural mechanism to explain.",reviews/root-blind-sample.json,reviews/group-2.json,requests/4574.json,responses/4574/attempt-01.json
4577,https://github.com/OpenHands/software-agent-sdk/issues/4577,c7f6c30f1e325c43a3f37899ec45588196f75eab6eca561c7b081c335b89254c,investigate,investigate,write,write,write,True,True,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,"Atomic per-key metadata updates resolve a documented Canvas/SDK race while preserving timestamp semantics. The lesson is API ownership and concurrency, not agent reasoning.",Atomic tag updates address lost writes and define metadata timestamp semantics across SDK endpoints and an identified Canvas caller. The text fully specifies the race and intended contract.,reviews/root-blind-sample.json,reviews/group-3.json,requests/4577.json,responses/4577/attempt-01.json
4591,https://github.com/OpenHands/software-agent-sdk/issues/4591,374076a5d3320101c0793af7b48bfd0e3d6285243e2781180026dae224c039fa,investigate,investigate,write,write,write,True,True,yes,yes,yes,yes,yes,yes,yes,yes,yes,unclear,no,yes,yes,yes,yes,yes,yes,yes,"Repairable orphan observations becoming a permanent conversation failure connects crash recovery, event parsing, context views and condensation. Canvas appears as deployment context, making cross-repo scope uncertain.","Crash recovery and view repair disagree about orphaned tool observations, making persisted history permanently unusable. A tiny set operation masks a deeper invariant and condensation/replay tradeoff, with a strong synthetic reproduction.",reviews/root-blind-sample.json,reviews/group-2.json,requests/4591.json,responses/4591/attempt-01.json
4664,https://github.com/OpenHands/software-agent-sdk/issues/4664,02b74ec85fcdace23316240cb5c8c49a59276e1d714015890c39e0343a3224d2,investigate,investigate,write,write,write,True,True,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,"A resumed workspace carrying two different endpoint/key pairs is a clear lifecycle and state-ownership failure, even without the reproducer stored in comments.",Readiness refresh leaves one workspace object with inconsistent endpoint/key/client snapshots. Atomic connection-state ownership across startup and resume is a useful lifecycle design topic; the report does not establish an interaction between two of the three target repositories.,reviews/root-blind-sample.json,reviews/group-2.json,requests/4664.json,responses/4664/attempt-01.json
4671,https://github.com/OpenHands/software-agent-sdk/issues/4671,429833b06f22c1da9bcf58e9fa5a923dc97ca2915525e42858fc0f2a2efe153a,investigate,investigate,write,write,write,True,True,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,"A complete SDK/Canvas protocol redesign separates persistence and transport, with explicit recovery and ordering tradeoffs. It is highly relevant but overlaps several individually tracked steps.","Wire/storage coupling, durable replay, ordering, cancellation and Canvas reconstruction form a detailed cross-repository protocol redesign. The memory label is supported by durable history/replay, not by buffer RAM.",reviews/root-blind-sample.json,reviews/group-3.json,requests/4671.json,responses/4671/attempt-01.json
4696,https://github.com/OpenHands/software-agent-sdk/issues/4696,50589b9beda6815a5412d9116d21594c9dd84b427d1ad0239bd6fab04dbfba1d,investigate,investigate,write,write,write,True,True,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,no,yes,yes,yes,yes,yes,yes,"Separating ephemeral deltas from durable Events changes fan-out, version compatibility and Canvas guards. This is a concrete SDK-to-Canvas wire contract.","Transient deltas inherit durable-event strictness and fan-out obligations they do not need. The issue specifies wire compatibility, Canvas guards and runtime liveness constraints, making the refactor a strong cross-boundary design case.",reviews/root-blind-sample.json,reviews/group-1.json,requests/4696.json,responses/4696/attempt-01.json
