issue_number,url,title,input_sha256,retrieval_complete,truncated,reviewer,review_action,review_route,jev_status,jev_route,jev_reason,route_agrees,review_design,jev_design_probability,jev_design_label,review_agent_behavior,jev_agent_behavior_probability,jev_agent_behavior_label,review_memory,jev_memory_probability,jev_memory_label,review_cross_repo,jev_cross_repo_probability,jev_cross_repo_label,review_substance,jev_substance_probability,jev_substance_label,review_design_context,jev_design_context_probability,jev_design_context_label,review_reason,review_flags,review_evidence,input_file,request_file,review_file,result_file,response_file
376,https://github.com/OpenHands/software-agent-sdk/issues/376,MCP Tool Integration: Selective tool registration and filtering,a51b8046d7e00051b37b19f4e87b6eba2f3c995f583cfa1fb14632802f86d7a5,True,False,field_notes_pipeline,investigate,write,ok,write,relevant_with_substance,True,yes,0.96,yes,yes,0.9,yes,no,0.05,no,no,0.35,no,yes,0.87,yes,yes,0.78,yes,"Selective initialization versus post-load filtering changes tool availability, cost, naming conflicts, and responsibility boundaries. Explicit ToolSpecs and backward compatibility offer a concrete agent-tool API design discussion.",[],"[{""text"": ""Should tool filtering be a server-side concern (in the MCP server) or client-side (in the agent-sdk)?"", ""supports"": [""design"", ""agent_behavior"", ""design_context""]}]",inputs/group-2.json,requests/376.json,reviews/group-2.json,results/376.json,responses/376/attempt-01.json
481,https://github.com/OpenHands/software-agent-sdk/issues/481,Support modal popups in browser tools,e2a6a28a07511479f0944644b911264f6eb36dc5682f3f38acf1fc611f5d99a1,True,False,field_notes_site,uncertain,defer,ok,write,relevant_with_substance,False,no,0.85,yes,yes,0.83,yes,no,0.03,no,no,0.23,no,unclear,0.8,yes,yes,0.7,yes,"The desired browser-agent capability is clear, so this is not an empty issue. It names several modal types without showing a particular failure or mechanism, leaving standalone explanatory value uncertain.",[],"[{""text"": ""modal popups (login forms, cookie dialogs, confirmation modals) that block page interaction."", ""supports"": [""agent_behavior"", ""design_context""]}]",inputs/group-3.json,requests/481.json,reviews/group-3.json,results/481.json,responses/481/attempt-01.json
976,https://github.com/OpenHands/software-agent-sdk/issues/976,[Tracker] Daily Examples Run Results,80e16923edd4352da395329de32506e89de05af79437fc9453b06e108aafdf46,True,False,field_notes_runtime,skip,skip,ok,defer,uncertain_design_context,False,no,0.13,no,no,0.16,no,no,0.05,no,no,0.12,no,no,0.11,no,yes,0.36,no,"This is an explicitly described placeholder for automated example-run results, not a proposed behavior or design investigation. Its brevity is appropriate to its administrative purpose.","[""routine_but_clear""]","[{""text"": ""placeholder for daily example script running results"", ""supports"": [""design_context""]}]",inputs/group-1.json,requests/976.json,reviews/group-1.json,results/976.json,responses/976/attempt-01.json
1060,https://github.com/OpenHands/software-agent-sdk/issues/1060,Google a2a support,a2c9b26e2b6eeac133bb689fae150ab41bb81d782a4fe0176e2c28aa54ca670f,True,False,field_notes_site,investigate,write,ok,write,relevant_with_substance,True,yes,0.94,yes,yes,0.65,yes,no,0.05,no,no,0.47,no,yes,0.78,yes,yes,0.75,yes,A2A discovery and task lifecycle must map to existing conversation identities and streams. Scope and supported operations are concrete; external A2A interoperability is not cross-repo evidence among the three watched repositories.,[],"[{""text"": ""mapping A2A task IDs to OpenHands conversation IDs."", ""supports"": [""design"", ""agent_behavior"", ""substance""]}]",inputs/group-3.json,requests/1060.json,reviews/group-3.json,results/1060.json,responses/1060/attempt-01.json
2047,https://github.com/OpenHands/software-agent-sdk/issues/2047,feat(delegate): Non-blocking background subagent execution,d962ac2155dbcf5603649fe75e1016c64397750fa457fc100c9b3d1d862249c3,True,False,field_notes_site,investigate,write,ok,write,relevant_with_substance,True,yes,0.94,yes,yes,0.95,yes,no,0.22,no,no,0.38,no,yes,0.83,yes,yes,0.85,yes,"Changing delegation from blocking joins to managed background tasks introduces meaningful parent/subagent concurrency, cancellation, result retrieval and lifecycle ownership. The intended interface and expected behavior are well specified.",[],"[{""text"": ""Add a `background` flag to delegation that returns immediately with task IDs"", ""supports"": [""design"", ""agent_behavior"", ""design_context""]}]",inputs/group-3.json,requests/2047.json,reviews/group-3.json,results/2047.json,responses/2047/attempt-01.json
2053,https://github.com/OpenHands/software-agent-sdk/issues/2053,"[Epic] Skills: Execution isolation, model routing & enhanced capabilities",b5f7207746a4d782c182b64b0672e8e0ae2cb265682ca99e92f1fa7d88d7c35e,True,False,field_notes_pipeline,investigate,write,ok,defer,uncertain_design_context,False,yes,0.9,yes,yes,0.92,yes,no,0.27,no,no,0.5,no,yes,0.76,yes,yes,0.51,no,"The epic clearly identifies skill execution isolation, delegation, model selection, and implementation dependencies. It is brief and leaves details to subissues, but its intended agent behavior and architectural direction are sufficient for investigation.",[],"[{""text"": ""skills should be able to run via the delegation system with configurable agent types, models, and enhanced capabilities."", ""supports"": [""design"", ""agent_behavior"", ""design_context""]}]",inputs/group-2.json,requests/2053.json,reviews/group-2.json,results/2053.json,responses/2053/attempt-01.json
2186,https://github.com/OpenHands/software-agent-sdk/issues/2186,feat(delegation): Advanced Features for Markdown-based Agents,e47960999ff60874b94b91d4a14a5d77695ddfdf789aff692fc66d2766a5b9d5,True,False,field_notes_site,investigate,write,ok,defer,uncertain_design_context,False,yes,0.88,yes,yes,0.9,yes,yes,0.89,yes,no,0.22,no,yes,0.68,no,yes,0.6,no,"The backlog identifies scoped subagent capabilities, persistent memory, compaction, restrictions and background execution, with compatibility constraints. Individual decisions remain open, but the described feature questions are sufficient to investigate.",[],"[{""text"": ""`memory`: Persistent memory scope."", ""supports"": [""memory"", ""design_context""]}]",inputs/group-3.json,requests/2186.json,reviews/group-3.json,results/2186.json,responses/2186/attempt-01.json
2697,https://github.com/OpenHands/software-agent-sdk/issues/2697,[Feature]: QuestionTool -- let the agent ask the user structured questions mid-task,b7f9ae88aa58fbf5fc900d6a81c6fad1b41614bbb7c4cf00ec4e6b01f4a3b18f,True,False,field_notes_pipeline,investigate,write,ok,write,relevant_with_substance,True,yes,0.94,yes,yes,0.96,yes,no,0.13,no,no,0.71,yes,yes,0.86,yes,yes,0.89,yes,"Structured questions introduce an explicit pause/resume state machine and meaningful headless fallback semantics. The alternative of hidden thread blocking is compared directly. Multiple clients are discussed, but no concrete contract between two named target repositories is established.",[],"[{""text"": ""This keeps the SDK's state machine explicit and works across all clients."", ""supports"": [""design"", ""agent_behavior"", ""design_context""]}]",inputs/group-2.json,requests/2697.json,reviews/group-2.json,results/2697.json,responses/2697/attempt-01.json
2721,https://github.com/OpenHands/software-agent-sdk/issues/2721,Proposal: Replace regex-based shell command analysis with tree-sitter-bash,70b5505784902e45d70b5edd914c415f57ac0b02bc025b0ced08f20fb6028908,True,False,field_notes_pipeline,investigate,write,ok,write,relevant_with_substance,True,yes,0.96,yes,yes,0.9,yes,no,0.04,no,no,0.8,yes,yes,0.91,yes,yes,0.9,yes,"The proposal unifies shell parsing used by safety checks and execution, with concrete bypass classes, fallback failures, tradeoffs, and tests. Its claims deserve scrutiny, but it clearly supplies material for a design note on agent tool safety within the SDK monorepo.",[],"[{""text"": ""Security checks can run on the same AST the terminal uses for command splitting."", ""supports"": [""design"", ""agent_behavior"", ""substance""]}]",inputs/group-2.json,requests/2721.json,reviews/group-2.json,results/2721.json,responses/2721/attempt-01.json
2725,https://github.com/OpenHands/software-agent-sdk/issues/2725,SDK vs Agent Server: Close compatibility gaps identified in compatibility matrix,20c1056c3875ec31aa8790ab947d5e29f1200d95abd22ff13e4e83bc5c8580e2,True,False,field_notes_pipeline,investigate,write,ok,defer,uncertain_design_context,False,yes,0.85,yes,yes,0.84,yes,no,0.38,no,no,0.71,yes,yes,0.64,no,yes,0.58,no,"The feature matrix asks which local SDK capabilities deserve remote API exposure and prioritizes delegation, critics, and fallback. It establishes a meaningful local/remote API parity boundary; SDK and Agent Server are packages in one target repo, not separate target repositories.",[],"[{""text"": ""several areas where the agent-server lacks parity with the SDK"", ""supports"": [""design"", ""substance""]}]",inputs/group-2.json,requests/2725.json,reviews/group-2.json,results/2725.json,responses/2725/attempt-01.json
